Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0300
Eval Epoch 0 | Mean relative regret: 0.2061
Epoch 1 | loss: 0.0264
Eval Epoch 1 | Mean relative regret: 0.1910
Epoch 2 | loss: 0.0237
Eval Epoch 2 | Mean relative regret: 0.1770
Epoch 3 | loss: 0.0212
Eval Epoch 3 | Mean relative regret: 0.1651
Epoch 4 | loss: 0.0191
Eval Epoch 4 | Mean relative regret: 0.1563
Epoch 5 | loss: 0.0174
Eval Epoch 5 | Mean relative regret: 0.1517
Epoch 6 | loss: 0.0158
Eval Epoch 6 | Mean relative regret: 0.1484
Epoch 7 | loss: 0.0149
Eval Epoch 7 | Mean relative regret: 0.1463
Epoch 8 | loss: 0.0139
Eval Epoch 8 | Mean relative regret: 0.1447
Epoch 9 | loss: 0.0129
Eval Epoch 9 | Mean relative regret: 0.1433
Epoch 10 | loss: 0.0125
Eval Epoch 10 | Mean relative regret: 0.1420
Epoch 11 | loss: 0.0119
Eval Epoch 11 | Mean relative regret: 0.1402
Epoch 12 | loss: 0.0113
Eval Epoch 12 | Mean relative regret: 0.1396
Epoch 13 | loss: 0.0110
Eval Epoch 13 | Mean relative regret: 0.1399
Epoch 14 | loss: 0.0106
Eval Epoch 14 | Mean relative regret: 0.1383
Epoch 15 | loss: 0.0103
Eval Epoch 15 | Mean relative regret: 0.1383
Epoch 16 | loss: 0.0099
Eval Epoch 16 | Mean relative regret: 0.1382
Epoch 17 | loss: 0.0096
Eval Epoch 17 | Mean relative regret: 0.1377
Epoch 18 | loss: 0.0095
Eval Epoch 18 | Mean relative regret: 0.1377
Epoch 19 | loss: 0.0093
Eval Epoch 19 | Mean relative regret: 0.1377
Epoch 20 | loss: 0.0088
Eval Epoch 20 | Mean relative regret: 0.1374
Epoch 21 | loss: 0.0088
Eval Epoch 21 | Mean relative regret: 0.1371
Epoch 22 | loss: 0.0087
Eval Epoch 22 | Mean relative regret: 0.1369
Epoch 23 | loss: 0.0085
Eval Epoch 23 | Mean relative regret: 0.1366
Epoch 24 | loss: 0.0082
Eval Epoch 24 | Mean relative regret: 0.1362
Epoch 25 | loss: 0.0082
Eval Epoch 25 | Mean relative regret: 0.1362
Epoch 26 | loss: 0.0080
Eval Epoch 26 | Mean relative regret: 0.1363
Epoch 27 | loss: 0.0080
Eval Epoch 27 | Mean relative regret: 0.1359
Epoch 28 | loss: 0.0077
Eval Epoch 28 | Mean relative regret: 0.1357
Epoch 29 | loss: 0.0076
Eval Epoch 29 | Mean relative regret: 0.1363
Epoch 30 | loss: 0.0076
Eval Epoch 30 | Mean relative regret: 0.1359
Epoch 31 | loss: 0.0076
Eval Epoch 31 | Mean relative regret: 0.1362
Epoch 32 | loss: 0.0073
Eval Epoch 32 | Mean relative regret: 0.1362
Epoch 33 | loss: 0.0072
Eval Epoch 33 | Mean relative regret: 0.1356
Epoch 34 | loss: 0.0073
Eval Epoch 34 | Mean relative regret: 0.1357
Epoch 35 | loss: 0.0074
Eval Epoch 35 | Mean relative regret: 0.1358
Epoch 36 | loss: 0.0070
Eval Epoch 36 | Mean relative regret: 0.1359
Time limit reached, stopping training.
Test relative regret: 0.1356 ± 0.0341
Test relative regret: 0.1199 ± 0.0369
Saving the model to portfolio/models/IMLE_classic_50_500_200_2-25.pth
