Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0260
Eval Epoch 0 | Mean relative regret: 0.2157
Epoch 1 | loss: 0.0212
Eval Epoch 1 | Mean relative regret: 0.2025
Epoch 2 | loss: 0.0188
Eval Epoch 2 | Mean relative regret: 0.1934
Epoch 3 | loss: 0.0175
Eval Epoch 3 | Mean relative regret: 0.1907
Epoch 4 | loss: 0.0165
Eval Epoch 4 | Mean relative regret: 0.1848
Epoch 5 | loss: 0.0156
Eval Epoch 5 | Mean relative regret: 0.1775
Epoch 6 | loss: 0.0147
Eval Epoch 6 | Mean relative regret: 0.1703
Epoch 7 | loss: 0.0138
Eval Epoch 7 | Mean relative regret: 0.1630
Epoch 8 | loss: 0.0131
Eval Epoch 8 | Mean relative regret: 0.1587
Epoch 9 | loss: 0.0124
Eval Epoch 9 | Mean relative regret: 0.1543
Epoch 10 | loss: 0.0117
Eval Epoch 10 | Mean relative regret: 0.1502
Epoch 11 | loss: 0.0111
Eval Epoch 11 | Mean relative regret: 0.1486
Epoch 12 | loss: 0.0105
Eval Epoch 12 | Mean relative regret: 0.1466
Epoch 13 | loss: 0.0101
Eval Epoch 13 | Mean relative regret: 0.1461
Epoch 14 | loss: 0.0097
Eval Epoch 14 | Mean relative regret: 0.1445
Epoch 15 | loss: 0.0095
Eval Epoch 15 | Mean relative regret: 0.1444
Epoch 16 | loss: 0.0091
Eval Epoch 16 | Mean relative regret: 0.1436
Epoch 17 | loss: 0.0089
Eval Epoch 17 | Mean relative regret: 0.1420
Epoch 18 | loss: 0.0087
Eval Epoch 18 | Mean relative regret: 0.1427
Epoch 19 | loss: 0.0084
Eval Epoch 19 | Mean relative regret: 0.1428
Epoch 20 | loss: 0.0082
Eval Epoch 20 | Mean relative regret: 0.1427
Epoch 21 | loss: 0.0081
Eval Epoch 21 | Mean relative regret: 0.1424
Time limit reached, stopping training.
Test relative regret: 0.1420 ± 0.0385
Test relative regret: 0.1308 ± 0.0373
Saving the model to portfolio/models/IMLE_LD_50_500_200_2-25.pth
