Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.4818
Eval Epoch 0 | Mean relative regret: 0.2109
Epoch 1 | loss: 0.2529
Eval Epoch 1 | Mean relative regret: 0.1985
Epoch 2 | loss: 0.1666
Eval Epoch 2 | Mean relative regret: 0.1914
Epoch 3 | loss: 0.1199
Eval Epoch 3 | Mean relative regret: 0.1857
Epoch 4 | loss: 0.0987
Eval Epoch 4 | Mean relative regret: 0.1866
Epoch 5 | loss: 0.0780
Eval Epoch 5 | Mean relative regret: 0.1830
Epoch 6 | loss: 0.0660
Eval Epoch 6 | Mean relative regret: 0.1810
Epoch 7 | loss: 0.0554
Eval Epoch 7 | Mean relative regret: 0.1808
Epoch 8 | loss: 0.0492
Eval Epoch 8 | Mean relative regret: 0.1773
Epoch 9 | loss: 0.0445
Eval Epoch 9 | Mean relative regret: 0.1759
Epoch 10 | loss: 0.0389
Eval Epoch 10 | Mean relative regret: 0.1764
Epoch 11 | loss: 0.0350
Eval Epoch 11 | Mean relative regret: 0.1760
Epoch 12 | loss: 0.0333
Eval Epoch 12 | Mean relative regret: 0.1751
Epoch 13 | loss: 0.0305
Eval Epoch 13 | Mean relative regret: 0.1735
Epoch 14 | loss: 0.0287
Eval Epoch 14 | Mean relative regret: 0.1720
Epoch 15 | loss: 0.0262
Eval Epoch 15 | Mean relative regret: 0.1725
Epoch 16 | loss: 0.0254
Eval Epoch 16 | Mean relative regret: 0.1735
Epoch 17 | loss: 0.0240
Eval Epoch 17 | Mean relative regret: 0.1758
Epoch 18 | loss: 0.0227
Eval Epoch 18 | Mean relative regret: 0.1753
Epoch 19 | loss: 0.0218
Eval Epoch 19 | Mean relative regret: 0.1744
Epoch 20 | loss: 0.0219
Eval Epoch 20 | Mean relative regret: 0.1755
Epoch 21 | loss: 0.0214
Eval Epoch 21 | Mean relative regret: 0.1750
Epoch 22 | loss: 0.0208
Eval Epoch 22 | Mean relative regret: 0.1730
Epoch 23 | loss: 0.0204
Eval Epoch 23 | Mean relative regret: 0.1730
Epoch 24 | loss: 0.0200
Eval Epoch 24 | Mean relative regret: 0.1748
Epoch 25 | loss: 0.0195
Eval Epoch 25 | Mean relative regret: 0.1727
Epoch 26 | loss: 0.0198
Eval Epoch 26 | Mean relative regret: 0.1728
Epoch 27 | loss: 0.0192
Eval Epoch 27 | Mean relative regret: 0.1737
Epoch 28 | loss: 0.0196
Eval Epoch 28 | Mean relative regret: 0.1715
Epoch 29 | loss: 0.0190
Eval Epoch 29 | Mean relative regret: 0.1710
Epoch 30 | loss: 0.0188
Eval Epoch 30 | Mean relative regret: 0.1682
Epoch 31 | loss: 0.0188
Eval Epoch 31 | Mean relative regret: 0.1685
Epoch 32 | loss: 0.0182
Eval Epoch 32 | Mean relative regret: 0.1692
Epoch 33 | loss: 0.0183
Eval Epoch 33 | Mean relative regret: 0.1695
Epoch 34 | loss: 0.0179
Eval Epoch 34 | Mean relative regret: 0.1705
Epoch 35 | loss: 0.0175
Eval Epoch 35 | Mean relative regret: 0.1708
Epoch 36 | loss: 0.0175
Eval Epoch 36 | Mean relative regret: 0.1695
Epoch 37 | loss: 0.0178
Eval Epoch 37 | Mean relative regret: 0.1690
Epoch 38 | loss: 0.0172
Eval Epoch 38 | Mean relative regret: 0.1690
Epoch 39 | loss: 0.0171
Eval Epoch 39 | Mean relative regret: 0.1682
Epoch 40 | loss: 0.0171
Eval Epoch 40 | Mean relative regret: 0.1673
Epoch 41 | loss: 0.0172
Eval Epoch 41 | Mean relative regret: 0.1687
Epoch 42 | loss: 0.0169
Eval Epoch 42 | Mean relative regret: 0.1702
Epoch 43 | loss: 0.0166
Eval Epoch 43 | Mean relative regret: 0.1669
Epoch 44 | loss: 0.0167
Eval Epoch 44 | Mean relative regret: 0.1678
Epoch 45 | loss: 0.0172
Eval Epoch 45 | Mean relative regret: 0.1693
Epoch 46 | loss: 0.0176
Eval Epoch 46 | Mean relative regret: 0.1695
Epoch 47 | loss: 0.0168
Eval Epoch 47 | Mean relative regret: 0.1711
Epoch 48 | loss: 0.0165
Eval Epoch 48 | Mean relative regret: 0.1714
Epoch 49 | loss: 0.0162
Eval Epoch 49 | Mean relative regret: 0.1710
Epoch 50 | loss: 0.0160
Eval Epoch 50 | Mean relative regret: 0.1692
Epoch 51 | loss: 0.0160
Eval Epoch 51 | Mean relative regret: 0.1671
Epoch 52 | loss: 0.0166
Eval Epoch 52 | Mean relative regret: 0.1668
Epoch 53 | loss: 0.0164
Eval Epoch 53 | Mean relative regret: 0.1679
Epoch 54 | loss: 0.0165
Eval Epoch 54 | Mean relative regret: 0.1668
Epoch 55 | loss: 0.0166
Eval Epoch 55 | Mean relative regret: 0.1649
Epoch 56 | loss: 0.0165
Eval Epoch 56 | Mean relative regret: 0.1653
Time limit reached, stopping training.
Test relative regret: 0.1649 ± 0.0593
Test relative regret: 0.1365 ± 0.0541
Saving the model to portfolio/models/SPOPlus_classic_30_500_200_2-25.pth
