Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.4569
Eval Epoch 0 | Mean relative regret: 0.2143
Epoch 1 | loss: 0.2511
Eval Epoch 1 | Mean relative regret: 0.2008
Epoch 2 | loss: 0.1670
Eval Epoch 2 | Mean relative regret: 0.1949
Epoch 3 | loss: 0.1225
Eval Epoch 3 | Mean relative regret: 0.1901
Epoch 4 | loss: 0.0952
Eval Epoch 4 | Mean relative regret: 0.1886
Epoch 5 | loss: 0.0747
Eval Epoch 5 | Mean relative regret: 0.1852
Epoch 6 | loss: 0.0647
Eval Epoch 6 | Mean relative regret: 0.1850
Epoch 7 | loss: 0.0551
Eval Epoch 7 | Mean relative regret: 0.1830
Epoch 8 | loss: 0.0478
Eval Epoch 8 | Mean relative regret: 0.1820
Epoch 9 | loss: 0.0431
Eval Epoch 9 | Mean relative regret: 0.1789
Epoch 10 | loss: 0.0398
Eval Epoch 10 | Mean relative regret: 0.1780
Epoch 11 | loss: 0.0365
Eval Epoch 11 | Mean relative regret: 0.1793
Epoch 12 | loss: 0.0339
Eval Epoch 12 | Mean relative regret: 0.1774
Epoch 13 | loss: 0.0320
Eval Epoch 13 | Mean relative regret: 0.1754
Epoch 14 | loss: 0.0302
Eval Epoch 14 | Mean relative regret: 0.1760
Epoch 15 | loss: 0.0296
Eval Epoch 15 | Mean relative regret: 0.1736
Epoch 16 | loss: 0.0279
Eval Epoch 16 | Mean relative regret: 0.1732
Epoch 17 | loss: 0.0276
Eval Epoch 17 | Mean relative regret: 0.1726
Epoch 18 | loss: 0.0272
Eval Epoch 18 | Mean relative regret: 0.1717
Epoch 19 | loss: 0.0273
Eval Epoch 19 | Mean relative regret: 0.1721
Epoch 20 | loss: 0.0253
Eval Epoch 20 | Mean relative regret: 0.1722
Epoch 21 | loss: 0.0254
Eval Epoch 21 | Mean relative regret: 0.1713
Epoch 22 | loss: 0.0255
Eval Epoch 22 | Mean relative regret: 0.1694
Epoch 23 | loss: 0.0249
Eval Epoch 23 | Mean relative regret: 0.1686
Epoch 24 | loss: 0.0243
Eval Epoch 24 | Mean relative regret: 0.1685
Epoch 25 | loss: 0.0244
Eval Epoch 25 | Mean relative regret: 0.1696
Epoch 26 | loss: 0.0237
Eval Epoch 26 | Mean relative regret: 0.1698
Epoch 27 | loss: 0.0235
Eval Epoch 27 | Mean relative regret: 0.1690
Epoch 28 | loss: 0.0232
Eval Epoch 28 | Mean relative regret: 0.1696
Epoch 29 | loss: 0.0235
Eval Epoch 29 | Mean relative regret: 0.1689
Epoch 30 | loss: 0.0237
Eval Epoch 30 | Mean relative regret: 0.1672
Epoch 31 | loss: 0.0230
Eval Epoch 31 | Mean relative regret: 0.1673
Epoch 32 | loss: 0.0232
Eval Epoch 32 | Mean relative regret: 0.1685
Epoch 33 | loss: 0.0226
Eval Epoch 33 | Mean relative regret: 0.1695
Time limit reached, stopping training.
Test relative regret: 0.1672 ± 0.0389
Test relative regret: 0.1315 ± 0.0380
Saving the model to portfolio/models/SPOPlus_classic_50_500_200_2-25.pth
