Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.4920
Eval Epoch 0 | Mean relative regret: 0.2187
Epoch 1 | loss: 0.2631
Eval Epoch 1 | Mean relative regret: 0.2039
Epoch 2 | loss: 0.1711
Eval Epoch 2 | Mean relative regret: 0.1955
Epoch 3 | loss: 0.1250
Eval Epoch 3 | Mean relative regret: 0.1905
Epoch 4 | loss: 0.0965
Eval Epoch 4 | Mean relative regret: 0.1875
Epoch 5 | loss: 0.0793
Eval Epoch 5 | Mean relative regret: 0.1832
Epoch 6 | loss: 0.0662
Eval Epoch 6 | Mean relative regret: 0.1816
Epoch 7 | loss: 0.0583
Eval Epoch 7 | Mean relative regret: 0.1798
Epoch 8 | loss: 0.0513
Eval Epoch 8 | Mean relative regret: 0.1808
Epoch 9 | loss: 0.0452
Eval Epoch 9 | Mean relative regret: 0.1754
Epoch 10 | loss: 0.0392
Eval Epoch 10 | Mean relative regret: 0.1769
Epoch 11 | loss: 0.0353
Eval Epoch 11 | Mean relative regret: 0.1725
Epoch 12 | loss: 0.0326
Eval Epoch 12 | Mean relative regret: 0.1707
Epoch 13 | loss: 0.0308
Eval Epoch 13 | Mean relative regret: 0.1706
Epoch 14 | loss: 0.0293
Eval Epoch 14 | Mean relative regret: 0.1720
Epoch 15 | loss: 0.0272
Eval Epoch 15 | Mean relative regret: 0.1733
Epoch 16 | loss: 0.0259
Eval Epoch 16 | Mean relative regret: 0.1702
Epoch 17 | loss: 0.0251
Eval Epoch 17 | Mean relative regret: 0.1691
Epoch 18 | loss: 0.0240
Eval Epoch 18 | Mean relative regret: 0.1691
Epoch 19 | loss: 0.0232
Eval Epoch 19 | Mean relative regret: 0.1674
Epoch 20 | loss: 0.0224
Eval Epoch 20 | Mean relative regret: 0.1702
Epoch 21 | loss: 0.0214
Eval Epoch 21 | Mean relative regret: 0.1692
Epoch 22 | loss: 0.0207
Eval Epoch 22 | Mean relative regret: 0.1681
Epoch 23 | loss: 0.0210
Eval Epoch 23 | Mean relative regret: 0.1683
Epoch 24 | loss: 0.0200
Eval Epoch 24 | Mean relative regret: 0.1703
