Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.4832
Eval Epoch 0 | Mean relative regret: 0.2077
Epoch 1 | loss: 0.2614
Eval Epoch 1 | Mean relative regret: 0.1977
Epoch 2 | loss: 0.1767
Eval Epoch 2 | Mean relative regret: 0.1859
Epoch 3 | loss: 0.1279
Eval Epoch 3 | Mean relative regret: 0.1819
Epoch 4 | loss: 0.1000
Eval Epoch 4 | Mean relative regret: 0.1789
Epoch 5 | loss: 0.0808
Eval Epoch 5 | Mean relative regret: 0.1753
Epoch 6 | loss: 0.0691
Eval Epoch 6 | Mean relative regret: 0.1722
Epoch 7 | loss: 0.0580
Eval Epoch 7 | Mean relative regret: 0.1710
Epoch 8 | loss: 0.0504
Eval Epoch 8 | Mean relative regret: 0.1706
Epoch 9 | loss: 0.0453
Eval Epoch 9 | Mean relative regret: 0.1711
Epoch 10 | loss: 0.0422
Eval Epoch 10 | Mean relative regret: 0.1695
Epoch 11 | loss: 0.0371
Eval Epoch 11 | Mean relative regret: 0.1684
Epoch 12 | loss: 0.0345
Eval Epoch 12 | Mean relative regret: 0.1695
Epoch 13 | loss: 0.0328
Eval Epoch 13 | Mean relative regret: 0.1690
Epoch 14 | loss: 0.0311
Eval Epoch 14 | Mean relative regret: 0.1698
Epoch 15 | loss: 0.0298
Eval Epoch 15 | Mean relative regret: 0.1690
Epoch 16 | loss: 0.0285
Eval Epoch 16 | Mean relative regret: 0.1682
Epoch 17 | loss: 0.0273
Eval Epoch 17 | Mean relative regret: 0.1678
Epoch 18 | loss: 0.0268
Eval Epoch 18 | Mean relative regret: 0.1664
Epoch 19 | loss: 0.0263
Eval Epoch 19 | Mean relative regret: 0.1653
Epoch 20 | loss: 0.0262
Eval Epoch 20 | Mean relative regret: 0.1655
Epoch 21 | loss: 0.0252
Eval Epoch 21 | Mean relative regret: 0.1659
Epoch 22 | loss: 0.0251
Eval Epoch 22 | Mean relative regret: 0.1636
Epoch 23 | loss: 0.0248
Eval Epoch 23 | Mean relative regret: 0.1632
Epoch 24 | loss: 0.0243
Eval Epoch 24 | Mean relative regret: 0.1649
Epoch 25 | loss: 0.0241
Eval Epoch 25 | Mean relative regret: 0.1645
Epoch 26 | loss: 0.0234
Eval Epoch 26 | Mean relative regret: 0.1633
Epoch 27 | loss: 0.0239
Eval Epoch 27 | Mean relative regret: 0.1636
Epoch 28 | loss: 0.0235
Eval Epoch 28 | Mean relative regret: 0.1637
Epoch 29 | loss: 0.0231
Eval Epoch 29 | Mean relative regret: 0.1643
Epoch 30 | loss: 0.0233
Eval Epoch 30 | Mean relative regret: 0.1650
Epoch 31 | loss: 0.0234
Eval Epoch 31 | Mean relative regret: 0.1642
Epoch 32 | loss: 0.0230
Eval Epoch 32 | Mean relative regret: 0.1642
Epoch 33 | loss: 0.0226
Eval Epoch 33 | Mean relative regret: 0.1636
Epoch 34 | loss: 0.0226
Eval Epoch 34 | Mean relative regret: 0.1630
Epoch 35 | loss: 0.0227
Eval Epoch 35 | Mean relative regret: 0.1620
Epoch 36 | loss: 0.0225
Eval Epoch 36 | Mean relative regret: 0.1631
Epoch 37 | loss: 0.0226
Eval Epoch 37 | Mean relative regret: 0.1613
Epoch 38 | loss: 0.0222
Eval Epoch 38 | Mean relative regret: 0.1613
Epoch 39 | loss: 0.0222
Eval Epoch 39 | Mean relative regret: 0.1625
Epoch 40 | loss: 0.0222
Eval Epoch 40 | Mean relative regret: 0.1615
Epoch 41 | loss: 0.0217
Eval Epoch 41 | Mean relative regret: 0.1615
Epoch 42 | loss: 0.0219
Eval Epoch 42 | Mean relative regret: 0.1592
Epoch 43 | loss: 0.0221
Eval Epoch 43 | Mean relative regret: 0.1599
Epoch 44 | loss: 0.0215
Eval Epoch 44 | Mean relative regret: 0.1627
