Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.4981
Eval Epoch 0 | Mean relative regret: 0.2121
Epoch 1 | loss: 0.2772
Eval Epoch 1 | Mean relative regret: 0.1907
Epoch 2 | loss: 0.1822
Eval Epoch 2 | Mean relative regret: 0.1820
Epoch 3 | loss: 0.1331
Eval Epoch 3 | Mean relative regret: 0.1794
Epoch 4 | loss: 0.1024
Eval Epoch 4 | Mean relative regret: 0.1775
Epoch 5 | loss: 0.0868
Eval Epoch 5 | Mean relative regret: 0.1755
Epoch 6 | loss: 0.0731
Eval Epoch 6 | Mean relative regret: 0.1732
Epoch 7 | loss: 0.0642
Eval Epoch 7 | Mean relative regret: 0.1736
Epoch 8 | loss: 0.0565
Eval Epoch 8 | Mean relative regret: 0.1708
Epoch 9 | loss: 0.0512
Eval Epoch 9 | Mean relative regret: 0.1693
Epoch 10 | loss: 0.0479
Eval Epoch 10 | Mean relative regret: 0.1684
Epoch 11 | loss: 0.0439
Eval Epoch 11 | Mean relative regret: 0.1680
Epoch 12 | loss: 0.0413
Eval Epoch 12 | Mean relative regret: 0.1693
Epoch 13 | loss: 0.0387
Eval Epoch 13 | Mean relative regret: 0.1681
Epoch 14 | loss: 0.0354
Eval Epoch 14 | Mean relative regret: 0.1696
Epoch 15 | loss: 0.0349
Eval Epoch 15 | Mean relative regret: 0.1689
Epoch 16 | loss: 0.0323
Eval Epoch 16 | Mean relative regret: 0.1652
Epoch 17 | loss: 0.0310
Eval Epoch 17 | Mean relative regret: 0.1668
Epoch 18 | loss: 0.0303
Eval Epoch 18 | Mean relative regret: 0.1672
Epoch 19 | loss: 0.0304
Eval Epoch 19 | Mean relative regret: 0.1663
Epoch 20 | loss: 0.0281
Eval Epoch 20 | Mean relative regret: 0.1660
Epoch 21 | loss: 0.0284
Eval Epoch 21 | Mean relative regret: 0.1642
Epoch 22 | loss: 0.0279
Eval Epoch 22 | Mean relative regret: 0.1647
Epoch 23 | loss: 0.0267
Eval Epoch 23 | Mean relative regret: 0.1627
Epoch 24 | loss: 0.0262
Eval Epoch 24 | Mean relative regret: 0.1636
Epoch 25 | loss: 0.0267
Eval Epoch 25 | Mean relative regret: 0.1644
Epoch 26 | loss: 0.0254
Eval Epoch 26 | Mean relative regret: 0.1638
Epoch 27 | loss: 0.0252
Eval Epoch 27 | Mean relative regret: 0.1650
Epoch 28 | loss: 0.0257
Eval Epoch 28 | Mean relative regret: 0.1651
Epoch 29 | loss: 0.0261
Eval Epoch 29 | Mean relative regret: 0.1651
Epoch 30 | loss: 0.0250
Eval Epoch 30 | Mean relative regret: 0.1639
Epoch 31 | loss: 0.0245
Eval Epoch 31 | Mean relative regret: 0.1613
Epoch 32 | loss: 0.0247
Eval Epoch 32 | Mean relative regret: 0.1609
Epoch 33 | loss: 0.0245
Eval Epoch 33 | Mean relative regret: 0.1617
Epoch 34 | loss: 0.0232
Eval Epoch 34 | Mean relative regret: 0.1637
Epoch 35 | loss: 0.0234
Eval Epoch 35 | Mean relative regret: 0.1639
Epoch 36 | loss: 0.0229
Eval Epoch 36 | Mean relative regret: 0.1641
Epoch 37 | loss: 0.0227
Eval Epoch 37 | Mean relative regret: 0.1638
Epoch 38 | loss: 0.0237
Eval Epoch 38 | Mean relative regret: 0.1639
Epoch 39 | loss: 0.0223
Eval Epoch 39 | Mean relative regret: 0.1635
Epoch 40 | loss: 0.0234
Eval Epoch 40 | Mean relative regret: 0.1639
Epoch 41 | loss: 0.0233
Eval Epoch 41 | Mean relative regret: 0.1627
Epoch 42 | loss: 0.0230
Eval Epoch 42 | Mean relative regret: 0.1629
Epoch 43 | loss: 0.0233
Eval Epoch 43 | Mean relative regret: 0.1640
Epoch 44 | loss: 0.0231
Eval Epoch 44 | Mean relative regret: 0.1633
Epoch 45 | loss: 0.0228
Eval Epoch 45 | Mean relative regret: 0.1641
Epoch 46 | loss: 0.0222
Eval Epoch 46 | Mean relative regret: 0.1615
Epoch 47 | loss: 0.0225
Eval Epoch 47 | Mean relative regret: 0.1597
Epoch 48 | loss: 0.0226
Eval Epoch 48 | Mean relative regret: 0.1598
Epoch 49 | loss: 0.0223
Eval Epoch 49 | Mean relative regret: 0.1622
Epoch 50 | loss: 0.0223
Eval Epoch 50 | Mean relative regret: 0.1618
Epoch 51 | loss: 0.0217
Eval Epoch 51 | Mean relative regret: 0.1595
Epoch 52 | loss: 0.0224
Eval Epoch 52 | Mean relative regret: 0.1600
Epoch 53 | loss: 0.0218
Eval Epoch 53 | Mean relative regret: 0.1623
Epoch 54 | loss: 0.0219
Eval Epoch 54 | Mean relative regret: 0.1600
Epoch 55 | loss: 0.0212
Eval Epoch 55 | Mean relative regret: 0.1620
Time limit reached, stopping training.
Test relative regret: 0.1595 ± 0.0488
Test relative regret: 0.1401 ± 0.0549
Saving the model to portfolio/models/SPOPlus_LD_30_500_200_2-25.pth
