Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.4865
Eval Epoch 0 | Mean relative regret: 0.2086
Epoch 1 | loss: 0.2744
Eval Epoch 1 | Mean relative regret: 0.1948
Epoch 2 | loss: 0.1851
Eval Epoch 2 | Mean relative regret: 0.1870
Epoch 3 | loss: 0.1341
Eval Epoch 3 | Mean relative regret: 0.1832
Epoch 4 | loss: 0.1052
Eval Epoch 4 | Mean relative regret: 0.1794
Epoch 5 | loss: 0.0865
Eval Epoch 5 | Mean relative regret: 0.1777
Epoch 6 | loss: 0.0755
Eval Epoch 6 | Mean relative regret: 0.1748
Epoch 7 | loss: 0.0652
Eval Epoch 7 | Mean relative regret: 0.1708
Epoch 8 | loss: 0.0578
Eval Epoch 8 | Mean relative regret: 0.1715
Epoch 9 | loss: 0.0527
Eval Epoch 9 | Mean relative regret: 0.1692
Epoch 10 | loss: 0.0492
Eval Epoch 10 | Mean relative regret: 0.1668
Epoch 11 | loss: 0.0460
Eval Epoch 11 | Mean relative regret: 0.1656
Epoch 12 | loss: 0.0428
Eval Epoch 12 | Mean relative regret: 0.1647
Epoch 13 | loss: 0.0410
Eval Epoch 13 | Mean relative regret: 0.1648
Epoch 14 | loss: 0.0396
Eval Epoch 14 | Mean relative regret: 0.1631
Epoch 15 | loss: 0.0390
Eval Epoch 15 | Mean relative regret: 0.1632
Epoch 16 | loss: 0.0366
Eval Epoch 16 | Mean relative regret: 0.1610
Epoch 17 | loss: 0.0364
Eval Epoch 17 | Mean relative regret: 0.1608
Epoch 18 | loss: 0.0357
Eval Epoch 18 | Mean relative regret: 0.1614
Epoch 19 | loss: 0.0346
Eval Epoch 19 | Mean relative regret: 0.1599
Epoch 20 | loss: 0.0335
Eval Epoch 20 | Mean relative regret: 0.1592
Epoch 21 | loss: 0.0326
Eval Epoch 21 | Mean relative regret: 0.1585
Epoch 22 | loss: 0.0315
Eval Epoch 22 | Mean relative regret: 0.1583
Epoch 23 | loss: 0.0324
Eval Epoch 23 | Mean relative regret: 0.1577
Epoch 24 | loss: 0.0320
Eval Epoch 24 | Mean relative regret: 0.1586
Epoch 25 | loss: 0.0323
Eval Epoch 25 | Mean relative regret: 0.1577
Epoch 26 | loss: 0.0308
Eval Epoch 26 | Mean relative regret: 0.1590
Epoch 27 | loss: 0.0307
Eval Epoch 27 | Mean relative regret: 0.1593
Epoch 28 | loss: 0.0303
Eval Epoch 28 | Mean relative regret: 0.1596
Epoch 29 | loss: 0.0298
Eval Epoch 29 | Mean relative regret: 0.1601
Epoch 30 | loss: 0.0298
Eval Epoch 30 | Mean relative regret: 0.1599
Epoch 31 | loss: 0.0297
Eval Epoch 31 | Mean relative regret: 0.1594
Epoch 32 | loss: 0.0293
Eval Epoch 32 | Mean relative regret: 0.1599
Epoch 33 | loss: 0.0287
Eval Epoch 33 | Mean relative regret: 0.1601
Epoch 34 | loss: 0.0290
Eval Epoch 34 | Mean relative regret: 0.1612
Epoch 35 | loss: 0.0297
Eval Epoch 35 | Mean relative regret: 0.1596
Time limit reached, stopping training.
Test relative regret: 0.1577 ± 0.0385
Test relative regret: 0.1312 ± 0.0381
Saving the model to portfolio/models/SPOPlus_LD_50_500_200_2-25.pth
