Loading /quad/train_30_500_200_2-25.txt
Loading /quad/eval_30_100_200_2-25.txt
Loading /quad/test_30_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0273
Eval Epoch 0 | Mean relative regret: 0.2218
Epoch 1 | loss: 0.0156
Eval Epoch 1 | Mean relative regret: 0.2017
Epoch 2 | loss: 0.0139
Eval Epoch 2 | Mean relative regret: 0.1931
Epoch 3 | loss: 0.0125
Eval Epoch 3 | Mean relative regret: 0.1862
Epoch 4 | loss: 0.0113
Eval Epoch 4 | Mean relative regret: 0.1758
Epoch 5 | loss: 0.0098
Eval Epoch 5 | Mean relative regret: 0.1670
Epoch 6 | loss: 0.0084
Eval Epoch 6 | Mean relative regret: 0.1633
Epoch 7 | loss: 0.0078
Eval Epoch 7 | Mean relative regret: 0.1604
Epoch 8 | loss: 0.0070
Eval Epoch 8 | Mean relative regret: 0.1598
Epoch 9 | loss: 0.0063
Eval Epoch 9 | Mean relative regret: 0.1580
Epoch 10 | loss: 0.0057
Eval Epoch 10 | Mean relative regret: 0.1570
Epoch 11 | loss: 0.0055
Eval Epoch 11 | Mean relative regret: 0.1574
Epoch 12 | loss: 0.0050
Eval Epoch 12 | Mean relative regret: 0.1558
Epoch 13 | loss: 0.0050
Eval Epoch 13 | Mean relative regret: 0.1571
Epoch 14 | loss: 0.0046
Eval Epoch 14 | Mean relative regret: 0.1556
Epoch 15 | loss: 0.0044
Eval Epoch 15 | Mean relative regret: 0.1553
Epoch 16 | loss: 0.0040
Eval Epoch 16 | Mean relative regret: 0.1557
Epoch 17 | loss: 0.0040
Eval Epoch 17 | Mean relative regret: 0.1561
Epoch 18 | loss: 0.0039
Eval Epoch 18 | Mean relative regret: 0.1584
Epoch 19 | loss: 0.0037
Eval Epoch 19 | Mean relative regret: 0.1570
Epoch 20 | loss: 0.0036
Eval Epoch 20 | Mean relative regret: 0.1575
Epoch 21 | loss: 0.0035
Eval Epoch 21 | Mean relative regret: 0.1586
Epoch 22 | loss: 0.0036
Eval Epoch 22 | Mean relative regret: 0.1574
Epoch 23 | loss: 0.0034
Eval Epoch 23 | Mean relative regret: 0.1579
Epoch 24 | loss: 0.0033
Eval Epoch 24 | Mean relative regret: 0.1570
Epoch 25 | loss: 0.0031
Eval Epoch 25 | Mean relative regret: 0.1581
Epoch 26 | loss: 0.0033
Eval Epoch 26 | Mean relative regret: 0.1578
Epoch 27 | loss: 0.0031
Eval Epoch 27 | Mean relative regret: 0.1585
Epoch 28 | loss: 0.0030
Eval Epoch 28 | Mean relative regret: 0.1592
Epoch 29 | loss: 0.0031
Eval Epoch 29 | Mean relative regret: 0.1592
Epoch 30 | loss: 0.0030
Eval Epoch 30 | Mean relative regret: 0.1602
Epoch 31 | loss: 0.0030
Eval Epoch 31 | Mean relative regret: 0.1593
Epoch 32 | loss: 0.0029
Eval Epoch 32 | Mean relative regret: 0.1607
Epoch 33 | loss: 0.0027
Eval Epoch 33 | Mean relative regret: 0.1604
Epoch 34 | loss: 0.0029
Eval Epoch 34 | Mean relative regret: 0.1613
Epoch 35 | loss: 0.0028
Eval Epoch 35 | Mean relative regret: 0.1607
Epoch 36 | loss: 0.0027
Eval Epoch 36 | Mean relative regret: 0.1606
Epoch 37 | loss: 0.0027
Eval Epoch 37 | Mean relative regret: 0.1605
Epoch 38 | loss: 0.0027
Eval Epoch 38 | Mean relative regret: 0.1605
Epoch 39 | loss: 0.0025
Eval Epoch 39 | Mean relative regret: 0.1604
Epoch 40 | loss: 0.0025
Eval Epoch 40 | Mean relative regret: 0.1610
Epoch 41 | loss: 0.0025
Eval Epoch 41 | Mean relative regret: 0.1597
Epoch 42 | loss: 0.0025
Eval Epoch 42 | Mean relative regret: 0.1596
Epoch 43 | loss: 0.0025
Eval Epoch 43 | Mean relative regret: 0.1599
Epoch 44 | loss: 0.0025
Eval Epoch 44 | Mean relative regret: 0.1606
Epoch 45 | loss: 0.0023
Eval Epoch 45 | Mean relative regret: 0.1601
Epoch 46 | loss: 0.0024
Eval Epoch 46 | Mean relative regret: 0.1604
Epoch 47 | loss: 0.0024
Eval Epoch 47 | Mean relative regret: 0.1612
Epoch 48 | loss: 0.0023
Eval Epoch 48 | Mean relative regret: 0.1604
Epoch 49 | loss: 0.0023
Eval Epoch 49 | Mean relative regret: 0.1607
Epoch 50 | loss: 0.0022
Eval Epoch 50 | Mean relative regret: 0.1603
Epoch 51 | loss: 0.0024
Eval Epoch 51 | Mean relative regret: 0.1600
Epoch 52 | loss: 0.0023
Eval Epoch 52 | Mean relative regret: 0.1596
Epoch 53 | loss: 0.0023
Eval Epoch 53 | Mean relative regret: 0.1589
Epoch 54 | loss: 0.0024
Eval Epoch 54 | Mean relative regret: 0.1590
