Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0306
Eval Epoch 0 | Mean relative regret: 0.2251
Epoch 1 | loss: 0.0291
Eval Epoch 1 | Mean relative regret: 0.2140
Epoch 2 | loss: 0.0268
Eval Epoch 2 | Mean relative regret: 0.2054
Epoch 3 | loss: 0.0249
Eval Epoch 3 | Mean relative regret: 0.1941
Epoch 4 | loss: 0.0233
Eval Epoch 4 | Mean relative regret: 0.1855
Epoch 5 | loss: 0.0218
Eval Epoch 5 | Mean relative regret: 0.1793
Epoch 6 | loss: 0.0201
Eval Epoch 6 | Mean relative regret: 0.1738
Epoch 7 | loss: 0.0191
Eval Epoch 7 | Mean relative regret: 0.1712
Epoch 8 | loss: 0.0177
Eval Epoch 8 | Mean relative regret: 0.1690
Epoch 9 | loss: 0.0171
Eval Epoch 9 | Mean relative regret: 0.1662
Epoch 10 | loss: 0.0162
Eval Epoch 10 | Mean relative regret: 0.1646
Epoch 11 | loss: 0.0158
Eval Epoch 11 | Mean relative regret: 0.1626
Epoch 12 | loss: 0.0151
Eval Epoch 12 | Mean relative regret: 0.1611
Epoch 13 | loss: 0.0145
Eval Epoch 13 | Mean relative regret: 0.1603
Epoch 14 | loss: 0.0142
Eval Epoch 14 | Mean relative regret: 0.1590
Epoch 15 | loss: 0.0138
Eval Epoch 15 | Mean relative regret: 0.1585
Epoch 16 | loss: 0.0134
Eval Epoch 16 | Mean relative regret: 0.1574
Epoch 17 | loss: 0.0132
Eval Epoch 17 | Mean relative regret: 0.1573
Epoch 18 | loss: 0.0129
Eval Epoch 18 | Mean relative regret: 0.1561
Epoch 19 | loss: 0.0126
Eval Epoch 19 | Mean relative regret: 0.1560
Epoch 20 | loss: 0.0124
Eval Epoch 20 | Mean relative regret: 0.1551
Epoch 21 | loss: 0.0121
Eval Epoch 21 | Mean relative regret: 0.1542
Epoch 22 | loss: 0.0118
Eval Epoch 22 | Mean relative regret: 0.1539
Epoch 23 | loss: 0.0117
Eval Epoch 23 | Mean relative regret: 0.1538
Epoch 24 | loss: 0.0115
Eval Epoch 24 | Mean relative regret: 0.1531
Epoch 25 | loss: 0.0115
Eval Epoch 25 | Mean relative regret: 0.1526
Epoch 26 | loss: 0.0113
Eval Epoch 26 | Mean relative regret: 0.1526
Epoch 27 | loss: 0.0112
Eval Epoch 27 | Mean relative regret: 0.1524
Epoch 28 | loss: 0.0109
Eval Epoch 28 | Mean relative regret: 0.1517
Time limit reached, stopping training.
Test relative regret: 0.1517 ± 0.0335
Test relative regret: 0.1255 ± 0.0310
Saving the model to portfolio/models/IMLE_classic_100_500_200_2-25.pth
