Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.0307
Eval Epoch 0 | Mean relative regret: 0.2215
Epoch 1 | loss: 0.0284
Eval Epoch 1 | Mean relative regret: 0.2133
Epoch 2 | loss: 0.0266
Eval Epoch 2 | Mean relative regret: 0.2045
Epoch 3 | loss: 0.0245
Eval Epoch 3 | Mean relative regret: 0.1955
Epoch 4 | loss: 0.0230
Eval Epoch 4 | Mean relative regret: 0.1881
Epoch 5 | loss: 0.0211
Eval Epoch 5 | Mean relative regret: 0.1815
Epoch 6 | loss: 0.0201
Eval Epoch 6 | Mean relative regret: 0.1766
Epoch 7 | loss: 0.0187
Eval Epoch 7 | Mean relative regret: 0.1730
Epoch 8 | loss: 0.0179
Eval Epoch 8 | Mean relative regret: 0.1707
Epoch 9 | loss: 0.0172
Eval Epoch 9 | Mean relative regret: 0.1689
Epoch 10 | loss: 0.0164
Eval Epoch 10 | Mean relative regret: 0.1663
Epoch 11 | loss: 0.0158
Eval Epoch 11 | Mean relative regret: 0.1650
Epoch 12 | loss: 0.0152
Eval Epoch 12 | Mean relative regret: 0.1636
Epoch 13 | loss: 0.0147
Eval Epoch 13 | Mean relative regret: 0.1621
Epoch 14 | loss: 0.0142
Eval Epoch 14 | Mean relative regret: 0.1617
Epoch 15 | loss: 0.0139
Eval Epoch 15 | Mean relative regret: 0.1605
Epoch 16 | loss: 0.0135
Eval Epoch 16 | Mean relative regret: 0.1597
Epoch 17 | loss: 0.0131
Eval Epoch 17 | Mean relative regret: 0.1586
Epoch 18 | loss: 0.0129
Eval Epoch 18 | Mean relative regret: 0.1574
Epoch 19 | loss: 0.0127
Eval Epoch 19 | Mean relative regret: 0.1573
Epoch 20 | loss: 0.0124
Eval Epoch 20 | Mean relative regret: 0.1561
Epoch 21 | loss: 0.0122
Eval Epoch 21 | Mean relative regret: 0.1566
Epoch 22 | loss: 0.0119
Eval Epoch 22 | Mean relative regret: 0.1557
Epoch 23 | loss: 0.0118
Eval Epoch 23 | Mean relative regret: 0.1557
Epoch 24 | loss: 0.0116
Eval Epoch 24 | Mean relative regret: 0.1550
Epoch 25 | loss: 0.0113
Eval Epoch 25 | Mean relative regret: 0.1542
Epoch 26 | loss: 0.0111
Eval Epoch 26 | Mean relative regret: 0.1542
Epoch 27 | loss: 0.0110
Eval Epoch 27 | Mean relative regret: 0.1541
Epoch 28 | loss: 0.0109
Eval Epoch 28 | Mean relative regret: 0.1535
Epoch 29 | loss: 0.0107
Eval Epoch 29 | Mean relative regret: 0.1529
Epoch 30 | loss: 0.0105
Eval Epoch 30 | Mean relative regret: 0.1535
Epoch 31 | loss: 0.0103
Eval Epoch 31 | Mean relative regret: 0.1533
Epoch 32 | loss: 0.0105
Eval Epoch 32 | Mean relative regret: 0.1530
Epoch 33 | loss: 0.0102
Eval Epoch 33 | Mean relative regret: 0.1525
Epoch 34 | loss: 0.0102
Eval Epoch 34 | Mean relative regret: 0.1528
Epoch 35 | loss: 0.0101
Eval Epoch 35 | Mean relative regret: 0.1528
Epoch 36 | loss: 0.0102
