Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0333
Eval Epoch 0 | Mean relative regret: 0.2265
Epoch 1 | loss: 0.0304
Eval Epoch 1 | Mean relative regret: 0.2166
Epoch 2 | loss: 0.0281
Eval Epoch 2 | Mean relative regret: 0.2100
Epoch 3 | loss: 0.0265
Eval Epoch 3 | Mean relative regret: 0.2034
Epoch 4 | loss: 0.0251
Eval Epoch 4 | Mean relative regret: 0.1972
Epoch 5 | loss: 0.0239
Eval Epoch 5 | Mean relative regret: 0.1917
Epoch 6 | loss: 0.0225
Eval Epoch 6 | Mean relative regret: 0.1865
Epoch 7 | loss: 0.0216
Eval Epoch 7 | Mean relative regret: 0.1829
Epoch 8 | loss: 0.0204
Eval Epoch 8 | Mean relative regret: 0.1795
Epoch 9 | loss: 0.0194
Eval Epoch 9 | Mean relative regret: 0.1770
Epoch 10 | loss: 0.0185
Eval Epoch 10 | Mean relative regret: 0.1740
Epoch 11 | loss: 0.0179
Eval Epoch 11 | Mean relative regret: 0.1724
Epoch 12 | loss: 0.0174
Eval Epoch 12 | Mean relative regret: 0.1721
Epoch 13 | loss: 0.0170
Eval Epoch 13 | Mean relative regret: 0.1708
Epoch 14 | loss: 0.0162
Eval Epoch 14 | Mean relative regret: 0.1709
Epoch 15 | loss: 0.0159
Eval Epoch 15 | Mean relative regret: 0.1704
Epoch 16 | loss: 0.0155
Eval Epoch 16 | Mean relative regret: 0.1706
Epoch 17 | loss: 0.0153
Eval Epoch 17 | Mean relative regret: 0.1697
Epoch 18 | loss: 0.0147
Eval Epoch 18 | Mean relative regret: 0.1691
Epoch 19 | loss: 0.0146
Eval Epoch 19 | Mean relative regret: 0.1691
Epoch 20 | loss: 0.0143
Eval Epoch 20 | Mean relative regret: 0.1686
Epoch 21 | loss: 0.0140
Eval Epoch 21 | Mean relative regret: 0.1678
Epoch 22 | loss: 0.0139
Eval Epoch 22 | Mean relative regret: 0.1676
Epoch 23 | loss: 0.0136
Eval Epoch 23 | Mean relative regret: 0.1671
Epoch 24 | loss: 0.0134
Eval Epoch 24 | Mean relative regret: 0.1668
Epoch 25 | loss: 0.0133
Eval Epoch 25 | Mean relative regret: 0.1668
Epoch 26 | loss: 0.0131
Eval Epoch 26 | Mean relative regret: 0.1671
Epoch 27 | loss: 0.0130
Eval Epoch 27 | Mean relative regret: 0.1668
Epoch 28 | loss: 0.0129
Eval Epoch 28 | Mean relative regret: 0.1668
Epoch 29 | loss: 0.0126
Eval Epoch 29 | Mean relative regret: 0.1668
Epoch 30 | loss: 0.0126
Eval Epoch 30 | Mean relative regret: 0.1669
Epoch 31 | loss: 0.0123
Eval Epoch 31 | Mean relative regret: 0.1669
Epoch 32 | loss: 0.0124
Eval Epoch 32 | Mean relative regret: 0.1664
Epoch 33 | loss: 0.0121
Eval Epoch 33 | Mean relative regret: 0.1658
Epoch 34 | loss: 0.0121
Eval Epoch 34 | Mean relative regret: 0.1659
Epoch 35 | loss: 0.0118
Eval Epoch 35 | Mean relative regret: 0.1662
Epoch 36 | loss: 0.0118
Eval Epoch 36 | Mean relative regret: 0.1660
Epoch 37 | loss: 0.0118
Eval Epoch 37 | Mean relative regret: 0.1657
Epoch 38 | loss: 0.0117
Eval Epoch 38 | Mean relative regret: 0.1658
Epoch 39 | loss: 0.0117
Eval Epoch 39 | Mean relative regret: 0.1651
Epoch 40 | loss: 0.0115
Eval Epoch 40 | Mean relative regret: 0.1655
Epoch 41 | loss: 0.0114
Eval Epoch 41 | Mean relative regret: 0.1650
Epoch 42 | loss: 0.0114
Eval Epoch 42 | Mean relative regret: 0.1650
Epoch 43 | loss: 0.0113
Eval Epoch 43 | Mean relative regret: 0.1646
Epoch 44 | loss: 0.0112
Eval Epoch 44 | Mean relative regret: 0.1645
Epoch 45 | loss: 0.0112
Eval Epoch 45 | Mean relative regret: 0.1646
Epoch 46 | loss: 0.0112
Eval Epoch 46 | Mean relative regret: 0.1646
Epoch 47 | loss: 0.0111
Eval Epoch 47 | Mean relative regret: 0.1645
Epoch 48 | loss: 0.0110
Eval Epoch 48 | Mean relative regret: 0.1643
Epoch 49 | loss: 0.0109
Eval Epoch 49 | Mean relative regret: 0.1645
Epoch 50 | loss: 0.0110
Eval Epoch 50 | Mean relative regret: 0.1642
Epoch 51 | loss: 0.0106
Eval Epoch 51 | Mean relative regret: 0.1651
Epoch 52 | loss: 0.0109
Eval Epoch 52 | Mean relative regret: 0.1650
Epoch 53 | loss: 0.0107
Eval Epoch 53 | Mean relative regret: 0.1649
Epoch 54 | loss: 0.0106
Eval Epoch 54 | Mean relative regret: 0.1650
Epoch 55 | loss: 0.0104
Eval Epoch 55 | Mean relative regret: 0.1653
Epoch 56 | loss: 0.0106
Eval Epoch 56 | Mean relative regret: 0.1649
Epoch 57 | loss: 0.0106
Eval Epoch 57 | Mean relative regret: 0.1650
Epoch 58 | loss: 0.0103
Eval Epoch 58 | Mean relative regret: 0.1649
Epoch 59 | loss: 0.0104
Eval Epoch 59 | Mean relative regret: 0.1652
Epoch 60 | loss: 0.0104
Eval Epoch 60 | Mean relative regret: 0.1648
Epoch 61 | loss: 0.0105
Eval Epoch 61 | Mean relative regret: 0.1648
Epoch 62 | loss: 0.0103
Eval Epoch 62 | Mean relative regret: 0.1648
Epoch 63 | loss: 0.0102
Eval Epoch 63 | Mean relative regret: 0.1651
Epoch 64 | loss: 0.0103
Eval Epoch 64 | Mean relative regret: 0.1650
Epoch 65 | loss: 0.0102
Eval Epoch 65 | Mean relative regret: 0.1652
Epoch 66 | loss: 0.0102
