Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with regret as loss...
Epoch 0 | loss: 0.4976
Eval Epoch 0 | Mean relative regret: 0.2229
Epoch 1 | loss: 0.2803
Eval Epoch 1 | Mean relative regret: 0.2128
Epoch 2 | loss: 0.1838
Eval Epoch 2 | Mean relative regret: 0.2080
Epoch 3 | loss: 0.1318
Eval Epoch 3 | Mean relative regret: 0.2032
Epoch 4 | loss: 0.1033
Eval Epoch 4 | Mean relative regret: 0.2008
Epoch 5 | loss: 0.0832
Eval Epoch 5 | Mean relative regret: 0.1990
Epoch 6 | loss: 0.0705
Eval Epoch 6 | Mean relative regret: 0.1969
Epoch 7 | loss: 0.0601
Eval Epoch 7 | Mean relative regret: 0.1970
Epoch 8 | loss: 0.0540
Eval Epoch 8 | Mean relative regret: 0.1965
Epoch 9 | loss: 0.0490
Eval Epoch 9 | Mean relative regret: 0.1952
Epoch 10 | loss: 0.0453
Eval Epoch 10 | Mean relative regret: 0.1946
Epoch 11 | loss: 0.0427
Eval Epoch 11 | Mean relative regret: 0.1936
Epoch 12 | loss: 0.0410
Eval Epoch 12 | Mean relative regret: 0.1930
Epoch 13 | loss: 0.0394
Eval Epoch 13 | Mean relative regret: 0.1922
Epoch 14 | loss: 0.0379
Eval Epoch 14 | Mean relative regret: 0.1910
Epoch 15 | loss: 0.0375
Eval Epoch 15 | Mean relative regret: 0.1900
Epoch 16 | loss: 0.0362
Eval Epoch 16 | Mean relative regret: 0.1893
Epoch 17 | loss: 0.0359
Eval Epoch 17 | Mean relative regret: 0.1881
Epoch 18 | loss: 0.0354
Eval Epoch 18 | Mean relative regret: 0.1874
Epoch 19 | loss: 0.0347
Eval Epoch 19 | Mean relative regret: 0.1876
Epoch 20 | loss: 0.0341
Eval Epoch 20 | Mean relative regret: 0.1866
Epoch 21 | loss: 0.0335
Eval Epoch 21 | Mean relative regret: 0.1861
Epoch 22 | loss: 0.0336
Eval Epoch 22 | Mean relative regret: 0.1846
Epoch 23 | loss: 0.0330
Eval Epoch 23 | Mean relative regret: 0.1840
Epoch 24 | loss: 0.0325
Eval Epoch 24 | Mean relative regret: 0.1841
Epoch 25 | loss: 0.0328
Eval Epoch 25 | Mean relative regret: 0.1845
Epoch 26 | loss: 0.0321
Eval Epoch 26 | Mean relative regret: 0.1838
Epoch 27 | loss: 0.0322
Eval Epoch 27 | Mean relative regret: 0.1843
Epoch 28 | loss: 0.0324
Eval Epoch 28 | Mean relative regret: 0.1829
Epoch 29 | loss: 0.0319
Eval Epoch 29 | Mean relative regret: 0.1836
Epoch 30 | loss: 0.0322
Eval Epoch 30 | Mean relative regret: 0.1829
Epoch 31 | loss: 0.0319
Eval Epoch 31 | Mean relative regret: 0.1825
Epoch 32 | loss: 0.0320
Eval Epoch 32 | Mean relative regret: 0.1821
Epoch 33 | loss: 0.0324
Eval Epoch 33 | Mean relative regret: 0.1829
Epoch 34 | loss: 0.0317
Eval Epoch 34 | Mean relative regret: 0.1824
Epoch 35 | loss: 0.0317
Eval Epoch 35 | Mean relative regret: 0.1824
Epoch 36 | loss: 0.0313
Eval Epoch 36 | Mean relative regret: 0.1818
Epoch 37 | loss: 0.0311
Eval Epoch 37 | Mean relative regret: 0.1828
Epoch 38 | loss: 0.0311
Eval Epoch 38 | Mean relative regret: 0.1826
Epoch 39 | loss: 0.0315
Eval Epoch 39 | Mean relative regret: 0.1813
Epoch 40 | loss: 0.0314
Eval Epoch 40 | Mean relative regret: 0.1820
Epoch 41 | loss: 0.0314
Eval Epoch 41 | Mean relative regret: 0.1838
Epoch 42 | loss: 0.0311
Eval Epoch 42 | Mean relative regret: 0.1828
Epoch 43 | loss: 0.0309
Eval Epoch 43 | Mean relative regret: 0.1827
Epoch 44 | loss: 0.0312
Eval Epoch 44 | Mean relative regret: 0.1836
Epoch 45 | loss: 0.0316
Eval Epoch 45 | Mean relative regret: 0.1827
Epoch 46 | loss: 0.0315
Eval Epoch 46 | Mean relative regret: 0.1826
Epoch 47 | loss: 0.0312
