Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0360 | train time : 0.221083402633667
Epoch 1 | loss: 0.0264 | train time : 0.2631063461303711
Epoch 2 | loss: 0.0232 | train time : 0.30446505546569824
Epoch 3 | loss: 0.0203 | train time : 0.3456406593322754
Epoch 4 | loss: 0.0179 | train time : 0.3868520259857178
Epoch 5 | loss: 0.0161 | train time : 0.4279482364654541
Epoch 6 | loss: 0.0146 | train time : 0.4690549373626709
Epoch 7 | loss: 0.0135 | train time : 0.5100665092468262
Epoch 8 | loss: 0.0126 | train time : 0.5510404109954834
Epoch 9 | loss: 0.0119 | train time : 0.592188835144043
Epoch 10 | loss: 0.0115 | train time : 0.6332933902740479
Epoch 11 | loss: 0.0108 | train time : 0.6743273735046387
Epoch 12 | loss: 0.0104 | train time : 0.7153811454772949
Epoch 13 | loss: 0.0099 | train time : 0.7564218044281006
Epoch 14 | loss: 0.0096 | train time : 0.7975621223449707
Epoch 15 | loss: 0.0093 | train time : 0.8386425971984863
Epoch 16 | loss: 0.0090 | train time : 0.8798000812530518
Epoch 17 | loss: 0.0089 | train time : 0.9208548069000244
Epoch 18 | loss: 0.0084 | train time : 0.9620039463043213
Epoch 19 | loss: 0.0083 | train time : 1.0029873847961426
Epoch 20 | loss: 0.0080 | train time : 1.0439915657043457
Epoch 21 | loss: 0.0081 | train time : 1.0850114822387695
Epoch 22 | loss: 0.0078 | train time : 1.1259868144989014
Epoch 23 | loss: 0.0077 | train time : 1.167090654373169
Epoch 24 | loss: 0.0074 | train time : 1.2080063819885254
Epoch 25 | loss: 0.0073 | train time : 1.2489566802978516
Epoch 26 | loss: 0.0074 | train time : 1.289987564086914
Epoch 27 | loss: 0.0070 | train time : 1.3311901092529297
Epoch 28 | loss: 0.0069 | train time : 1.3730952739715576
Epoch 29 | loss: 0.0069 | train time : 1.4143004417419434
Epoch 30 | loss: 0.0070 | train time : 1.4552652835845947
Epoch 31 | loss: 0.0068 | train time : 1.4963057041168213
Epoch 32 | loss: 0.0067 | train time : 1.5372576713562012
Epoch 33 | loss: 0.0066 | train time : 1.5783360004425049
Epoch 34 | loss: 0.0063 | train time : 1.6193015575408936
Epoch 35 | loss: 0.0066 | train time : 1.660370111465454
Epoch 36 | loss: 0.0065 | train time : 1.7013866901397705
Epoch 37 | loss: 0.0063 | train time : 1.7457492351531982
Epoch 38 | loss: 0.0062 | train time : 1.7869713306427002
