Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0277 | train time : 0.35382962226867676
Epoch 1 | loss: 0.0181 | train time : 0.3956420421600342
Epoch 2 | loss: 0.0167 | train time : 0.43697333335876465
Epoch 3 | loss: 0.0156 | train time : 0.47830820083618164
Epoch 4 | loss: 0.0144 | train time : 0.5194027423858643
Epoch 5 | loss: 0.0129 | train time : 0.5605001449584961
Epoch 6 | loss: 0.0117 | train time : 0.6014869213104248
Epoch 7 | loss: 0.0107 | train time : 0.6426355838775635
Epoch 8 | loss: 0.0099 | train time : 0.6837804317474365
Epoch 9 | loss: 0.0092 | train time : 0.7248117923736572
Epoch 10 | loss: 0.0086 | train time : 0.7659456729888916
Epoch 11 | loss: 0.0081 | train time : 0.8069825172424316
Epoch 12 | loss: 0.0077 | train time : 0.8480455875396729
Epoch 13 | loss: 0.0073 | train time : 0.8891370296478271
Epoch 14 | loss: 0.0071 | train time : 0.9301989078521729
Epoch 15 | loss: 0.0069 | train time : 0.9713327884674072
Epoch 16 | loss: 0.0066 | train time : 1.01249098777771
Epoch 17 | loss: 0.0065 | train time : 1.0535647869110107
Epoch 18 | loss: 0.0063 | train time : 1.098374843597412
Epoch 19 | loss: 0.0061 | train time : 1.1432387828826904
Epoch 20 | loss: 0.0059 | train time : 1.184460163116455
Epoch 21 | loss: 0.0058 | train time : 1.2254397869110107
Epoch 22 | loss: 0.0058 | train time : 1.2665436267852783
Epoch 23 | loss: 0.0056 | train time : 1.3076508045196533
Epoch 24 | loss: 0.0056 | train time : 1.3486812114715576
Epoch 25 | loss: 0.0053 | train time : 1.389697790145874
Epoch 26 | loss: 0.0053 | train time : 1.4306235313415527
Epoch 27 | loss: 0.0052 | train time : 1.4716863632202148
Epoch 28 | loss: 0.0052 | train time : 1.512634515762329
Epoch 29 | loss: 0.0052 | train time : 1.5536141395568848
Epoch 30 | loss: 0.0050 | train time : 1.594592809677124
Epoch 31 | loss: 0.0050 | train time : 1.635554552078247
Epoch 32 | loss: 0.0050 | train time : 1.6766164302825928
Epoch 33 | loss: 0.0049 | train time : 1.7176823616027832
Epoch 34 | loss: 0.0046 | train time : 1.7587804794311523
Epoch 35 | loss: 0.0047 | train time : 1.7998692989349365
Epoch 36 | loss: 0.0045 | train time : 1.840900182723999
Epoch 37 | loss: 0.0047 | train time : 1.8820736408233643
Epoch 38 | loss: 0.0047 | train time : 1.9232203960418701
Epoch 39 | loss: 0.0045 | train time : 1.9644396305084229
Epoch 40 | loss: 0.0046 | train time : 2.005662679672241
Epoch 41 | loss: 0.0044 | train time : 2.046872854232788
Epoch 42 | loss: 0.0046 | train time : 2.0881948471069336
Epoch 43 | loss: 0.0045 | train time : 2.1292455196380615
Epoch 44 | loss: 0.0044 | train time : 2.170549154281616
Epoch 45 | loss: 0.0044 | train time : 2.2117972373962402
Epoch 46 | loss: 0.0043 | train time : 2.2530550956726074
Epoch 47 | loss: 0.0043 | train time : 2.308413505554199
Epoch 48 | loss: 0.0042 | train time : 2.3495702743530273
Epoch 49 | loss: 0.0043 | train time : 2.3906383514404297
Epoch 50 | loss: 0.0040 | train time : 2.431628942489624
Epoch 51 | loss: 0.0041 | train time : 2.472742795944214
Epoch 52 | loss: 0.0040 | train time : 2.5138044357299805
Epoch 53 | loss: 0.0042 | train time : 2.5549709796905518
Epoch 54 | loss: 0.0042 | train time : 2.5963797569274902
Epoch 55 | loss: 0.0040 | train time : 2.637662649154663
Epoch 56 | loss: 0.0042 | train time : 2.679152250289917
Epoch 57 | loss: 0.0040 | train time : 2.7204782962799072
Epoch 58 | loss: 0.0040 | train time : 2.7618513107299805
Epoch 59 | loss: 0.0040 | train time : 2.803159713745117
Epoch 60 | loss: 0.0039 | train time : 2.8444664478302
Epoch 61 | loss: 0.0040 | train time : 2.8858718872070312
Epoch 62 | loss: 0.0039 | train time : 2.9272098541259766
Epoch 63 | loss: 0.0038 | train time : 2.9685826301574707
Epoch 64 | loss: 0.0040 | train time : 3.009861707687378
Epoch 65 | loss: 0.0039 | train time : 3.051093339920044
Epoch 66 | loss: 0.0039 | train time : 3.092219829559326
Epoch 67 | loss: 0.0039 | train time : 3.13340163230896
Epoch 68 | loss: 0.0040 | train time : 3.174644947052002
Epoch 69 | loss: 0.0038 | train time : 3.2156505584716797
Epoch 70 | loss: 0.0039 | train time : 3.256786346435547
Epoch 71 | loss: 0.0037 | train time : 3.298178195953369
Epoch 72 | loss: 0.0039 | train time : 3.339308261871338
Epoch 73 | loss: 0.0037 | train time : 3.380974769592285
Epoch 74 | loss: 0.0038 | train time : 3.42197847366333
Epoch 75 | loss: 0.0037 | train time : 3.4631879329681396
Epoch 76 | loss: 0.0037 | train time : 3.504392147064209
Epoch 77 | loss: 0.0038 | train time : 3.5455055236816406
Epoch 78 | loss: 0.0038 | train time : 3.586501359939575
Epoch 79 | loss: 0.0036 | train time : 3.6274423599243164
Epoch 80 | loss: 0.0037 | train time : 3.6686089038848877
