Loading /quad/train_100_500_200_2-25.txt
Loading /quad/eval_100_100_200_2-25.txt
Loading /quad/test_100_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0353 | train time : 0.22088885307312012
Epoch 1 | loss: 0.0261 | train time : 0.2633857727050781
Epoch 2 | loss: 0.0229 | train time : 0.30544281005859375
Epoch 3 | loss: 0.0201 | train time : 0.34726476669311523
Epoch 4 | loss: 0.0178 | train time : 0.38895273208618164
Epoch 5 | loss: 0.0160 | train time : 0.430647611618042
Epoch 6 | loss: 0.0146 | train time : 0.47229552268981934
Epoch 7 | loss: 0.0136 | train time : 0.5140602588653564
Epoch 8 | loss: 0.0124 | train time : 0.5557382106781006
Epoch 9 | loss: 0.0118 | train time : 0.5975310802459717
Epoch 10 | loss: 0.0115 | train time : 0.6391594409942627
Epoch 11 | loss: 0.0106 | train time : 0.6808953285217285
Epoch 12 | loss: 0.0103 | train time : 0.7225112915039062
Epoch 13 | loss: 0.0097 | train time : 0.7641415596008301
Epoch 14 | loss: 0.0097 | train time : 0.8058757781982422
Epoch 15 | loss: 0.0092 | train time : 0.847465991973877
Epoch 16 | loss: 0.0089 | train time : 0.8890831470489502
Epoch 17 | loss: 0.0086 | train time : 0.9306957721710205
Epoch 18 | loss: 0.0083 | train time : 0.9722809791564941
Epoch 19 | loss: 0.0081 | train time : 1.0138802528381348
Epoch 20 | loss: 0.0078 | train time : 1.055422067642212
Epoch 21 | loss: 0.0077 | train time : 1.0969181060791016
Epoch 22 | loss: 0.0077 | train time : 1.1384961605072021
Epoch 23 | loss: 0.0076 | train time : 1.1800305843353271
Epoch 24 | loss: 0.0076 | train time : 1.2215349674224854
Epoch 25 | loss: 0.0075 | train time : 1.263014554977417
Epoch 26 | loss: 0.0076 | train time : 1.3045942783355713
Epoch 27 | loss: 0.0072 | train time : 1.3460590839385986
Epoch 28 | loss: 0.0070 | train time : 1.3876194953918457
Epoch 29 | loss: 0.0069 | train time : 1.42922043800354
Epoch 30 | loss: 0.0069 | train time : 1.4707796573638916
Epoch 31 | loss: 0.0065 | train time : 1.5124170780181885
Epoch 32 | loss: 0.0065 | train time : 1.5539226531982422
Epoch 33 | loss: 0.0064 | train time : 1.595548152923584
Epoch 34 | loss: 0.0065 | train time : 1.6370420455932617
Epoch 35 | loss: 0.0065 | train time : 1.6785578727722168
Epoch 36 | loss: 0.0063 | train time : 1.7202258110046387
Epoch 37 | loss: 0.0063 | train time : 1.761786937713623
Epoch 38 | loss: 0.0061 | train time : 1.807267189025879
Epoch 39 | loss: 0.0064 | train time : 1.8487792015075684
Epoch 40 | loss: 0.0063 | train time : 1.8903276920318604
Epoch 41 | loss: 0.0062 | train time : 1.9318695068359375
Epoch 42 | loss: 0.0061 | train time : 1.973675012588501
Epoch 43 | loss: 0.0061 | train time : 2.0152013301849365
Epoch 44 | loss: 0.0060 | train time : 2.056685447692871
Epoch 45 | loss: 0.0059 | train time : 2.0982673168182373
Epoch 46 | loss: 0.0059 | train time : 2.1397416591644287
Epoch 47 | loss: 0.0058 | train time : 2.181262969970703
Epoch 48 | loss: 0.0057 | train time : 2.222850799560547
Epoch 49 | loss: 0.0059 | train time : 2.264357089996338
Epoch 50 | loss: 0.0057 | train time : 2.305964708328247
Epoch 51 | loss: 0.0057 | train time : 2.3474230766296387
Epoch 52 | loss: 0.0056 | train time : 2.3889598846435547
Epoch 53 | loss: 0.0057 | train time : 2.4305319786071777
Epoch 54 | loss: 0.0056 | train time : 2.4720566272735596
Epoch 55 | loss: 0.0056 | train time : 2.513688087463379
Epoch 56 | loss: 0.0057 | train time : 2.5552759170532227
Epoch 57 | loss: 0.0054 | train time : 2.5968575477600098
Epoch 58 | loss: 0.0056 | train time : 2.638441324234009
Epoch 59 | loss: 0.0056 | train time : 2.6800577640533447
Epoch 60 | loss: 0.0054 | train time : 2.721634864807129
Epoch 61 | loss: 0.0054 | train time : 2.763239860534668
Epoch 62 | loss: 0.0055 | train time : 2.8047749996185303
Epoch 63 | loss: 0.0053 | train time : 2.846301317214966
Epoch 64 | loss: 0.0053 | train time : 2.8876821994781494
Epoch 65 | loss: 0.0051 | train time : 2.9290359020233154
Epoch 66 | loss: 0.0055 | train time : 2.970337152481079
