2025-06-03 10:21:27,004 INFO    MainThread:933078 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_setup.py:_flush():68] Configure stats pid to 933078
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_setup.py:_flush():68] Loading settings from /home/stephecw/.config/wandb/settings
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_setup.py:_flush():68] Loading settings from /home/stephecw/projet/DFL_LD/wandb/settings
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_init.py:setup_run_log_directory():637] Logging user logs to ./wandb/offline-run-20250603_102126-s1qb9zw0/logs/debug.log
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to ./wandb/offline-run-20250603_102126-s1qb9zw0/logs/debug-internal.log
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_init.py:init():756] calling init triggers
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'architecture': [200, 100, 50], 'dropout': 0.2, 'dataset_train': 'train_10_200_50_500.txt', 'dataset_eval': 'eval_10_200_50_100.txt', 'batch_size': 32, 'epochs': 1000000, 'time_limit': 600, 'learning_rate': 0.001, 'schedulerType': 'ReduceLROnPlateau', 'sched_arg': {'mode': 'min', 'factor': 0.5, 'patience': 40, 'min_lr': 1e-06}, 'diff_method': 'IMLE', 'diff_method_arg': {'n_samples': 1, 'sigma': 1.0, 'lambd': 10, 'distribution': <pyepo.func.utlis.sumGammaDistribution object at 0x1514c88a45b0>}, '_wandb': {}}
2025-06-03 10:21:27,005 INFO    MainThread:933078 [wandb_init.py:init():789] starting backend
2025-06-03 10:21:28,349 INFO    MainThread:933078 [wandb_init.py:init():793] sending inform_init request
2025-06-03 10:21:28,511 INFO    MainThread:933078 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-03 10:21:28,512 INFO    MainThread:933078 [wandb_init.py:init():808] backend started and connected
2025-06-03 10:21:28,513 INFO    MainThread:933078 [wandb_init.py:init():901] updated telemetry
2025-06-03 10:21:28,514 INFO    MainThread:933078 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-06-03 10:21:28,939 INFO    MainThread:933078 [wandb_init.py:init():994] starting run threads in backend
2025-06-03 10:21:36,485 INFO    MainThread:933078 [wandb_run.py:_console_start():2385] atexit reg
2025-06-03 10:21:36,485 INFO    MainThread:933078 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-06-03 10:21:36,485 INFO    MainThread:933078 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-06-03 10:21:36,485 INFO    MainThread:933078 [wandb_run.py:_redirect():2325] Redirects installed.
2025-06-03 10:21:36,821 INFO    MainThread:933078 [wandb_init.py:init():1036] run started, returning control to user process
