Loading train_10_1_200_50_500.txt
Loading eval_10_200_50_100.txt
Restricted license - for non-production use only - expires 2026-11-23
Num of cores: 1
Training the model with LD bound as loss...
Epoch 0 | loss: 16.5877 | train time : 1.060750961303711
Epoch 1 | loss: 16.4967 | train time : 1.8906631469726562
Epoch 2 | loss: 16.4933 | train time : 2.72314715385437
Epoch 3 | loss: 16.4073 | train time : 3.5635993480682373
Epoch 4 | loss: 16.4053 | train time : 4.403930187225342
Epoch 5 | loss: 16.2414 | train time : 5.248818635940552
Epoch 6 | loss: 16.3309 | train time : 6.100460052490234
Epoch 7 | loss: 16.2932 | train time : 6.948972463607788
Epoch 8 | loss: 16.2595 | train time : 7.7984459400177
Epoch 9 | loss: 16.2484 | train time : 8.648534059524536
Eval Epoch 9 | Mean relative regret: 0.4445
Epoch 10 | loss: 16.3419 | train time : 9.509030818939209
Epoch 11 | loss: 16.2780 | train time : 10.36631989479065
Epoch 12 | loss: 16.1835 | train time : 11.226713180541992
Epoch 13 | loss: 16.1874 | train time : 12.091936588287354
Epoch 14 | loss: 16.2306 | train time : 12.958397626876831
Epoch 15 | loss: 16.1054 | train time : 13.83033561706543
Epoch 16 | loss: 16.2390 | train time : 14.699437141418457
Epoch 17 | loss: 16.2137 | train time : 15.570505142211914
Epoch 18 | loss: 16.1015 | train time : 16.440412521362305
Epoch 19 | loss: 16.1055 | train time : 17.31030011177063
Eval Epoch 19 | Mean relative regret: 0.4427
Epoch 20 | loss: 16.0464 | train time : 18.17358922958374
Epoch 21 | loss: 16.1731 | train time : 19.033944368362427
Epoch 22 | loss: 16.1188 | train time : 19.898661613464355
Epoch 23 | loss: 16.0827 | train time : 20.760446786880493
Epoch 24 | loss: 16.0982 | train time : 21.6251323223114
Epoch 25 | loss: 16.0651 | train time : 22.495627641677856
Epoch 26 | loss: 16.0584 | train time : 23.36553430557251
Epoch 27 | loss: 15.9977 | train time : 24.23663592338562
Epoch 28 | loss: 15.9816 | train time : 25.107619047164917
Epoch 29 | loss: 15.9979 | train time : 25.978216648101807
Eval Epoch 29 | Mean relative regret: 0.4555
Epoch 30 | loss: 16.1392 | train time : 26.85371446609497
Epoch 31 | loss: 15.9752 | train time : 27.72684073448181
Epoch 32 | loss: 15.9240 | train time : 28.60273313522339
Epoch 33 | loss: 15.9522 | train time : 29.4760160446167
Epoch 34 | loss: 15.9575 | train time : 30.3487708568573
Epoch 35 | loss: 15.9243 | train time : 31.223180294036865
Epoch 36 | loss: 15.9224 | train time : 32.09744572639465
Epoch 37 | loss: 15.9482 | train time : 32.97228693962097
Epoch 38 | loss: 15.8983 | train time : 33.84642791748047
Epoch 39 | loss: 15.8379 | train time : 34.72081279754639
Eval Epoch 39 | Mean relative regret: 0.4688
Epoch 40 | loss: 15.8080 | train time : 35.59741711616516
Epoch 41 | loss: 15.7876 | train time : 36.47325158119202
Epoch 42 | loss: 15.7808 | train time : 37.34946155548096
